source,target,time_fps
fly11,fly7,15897
fly12,fly7,15909
fly9,fly11,15913
fly9,fly8,15975
fly11,fly8,15976
fly8,fly11,15977
fly7,fly12,15995
fly12,fly7,15996
fly10,fly1,16045
fly1,fly10,16047
fly4,fly9,16050
fly9,fly4,16052
fly8,fly12,16111
fly12,fly8,16113
fly11,fly12,16119
fly12,fly11,16140
fly10,fly7,16172
fly5,fly6,16200
fly6,fly5,16202
fly4,fly12,16207
fly12,fly4,16207
fly1,fly3,16213
fly6,fly5,16222
fly4,fly11,16228
fly3,fly1,16229
fly12,fly11,16229
fly11,fly4,16236
fly1,fly3,16246
fly12,fly4,16254
fly11,fly12,16265
fly8,fly4,16274
fly9,fly12,16278
fly12,fly11,16282
fly3,fly1,16290
fly8,fly4,16292
fly9,fly11,16301
fly11,fly9,16308
fly1,fly3,16308
fly9,fly8,16310
fly4,fly8,16311
fly10,fly6,16319
fly6,fly10,16328
fly9,fly11,16338
fly8,fly9,16340
fly12,fly8,16362
fly4,fly9,16371
fly3,fly1,16399
fly12,fly11,16412
fly7,fly9,16428
fly11,fly12,16444
fly2,fly6,16488
fly5,fly1,16509
fly6,fly2,16510
fly8,fly10,16522
fly1,fly8,16584
fly8,fly1,16588
fly7,fly4,16627
fly12,fly7,16632
fly12,fly4,16646
fly11,fly2,16671
fly12,fly4,16673
fly8,fly3,16698
fly3,fly8,16699
fly1,fly3,16711
fly7,fly4,16729
fly10,fly7,16753
fly5,fly6,16765
fly2,fly11,16772
fly11,fly2,16786
fly5,fly2,16792
fly11,fly10,16833
fly3,fly9,16838
fly10,fly11,16839
fly2,fly6,16842
fly9,fly3,16860
fly3,fly9,16864
fly10,fly2,16876
fly11,fly6,16880
fly10,fly8,16909
fly2,fly5,16922
fly11,fly6,16930
fly6,fly8,16934
fly8,fly6,16934
fly11,fly6,16951
fly9,fly3,16963
fly12,fly1,16979
fly6,fly11,16988
fly1,fly12,16991
fly9,fly2,17016
fly2,fly9,17028
fly3,fly2,17093
fly8,fly6,17095
fly2,fly3,17096
fly3,fly11,17128
fly8,fly6,17138
fly6,fly8,17160
fly11,fly6,17195
fly8,fly6,17210
fly2,fly6,17250
fly11,fly8,17266
fly2,fly11,17280
fly6,fly2,17283
fly10,fly6,17305
fly6,fly10,17315
fly11,fly2,17322
fly6,fly11,17324
fly10,fly12,17334
fly10,fly11,17336
fly11,fly10,17346
fly12,fly10,17352
fly12,fly8,17364
fly8,fly12,17371
fly10,fly8,17373
fly10,fly12,17374
fly12,fly8,17392
fly6,fly11,17396
fly11,fly6,17420
fly8,fly10,17443
fly8,fly11,17448
fly4,fly5,17460
fly5,fly4,17466
fly9,fly2,17467
fly2,fly9,17471
fly5,fly1,17529
fly8,fly12,17553
fly12,fly8,17557
fly11,fly2,17579
fly6,fly10,17581
fly2,fly11,17598
fly12,fly8,17609
fly4,fly11,17658
fly8,fly6,17704
fly5,fly11,17726
fly4,fly2,17736
fly2,fly4,17737
fly9,fly6,17766
fly3,fly10,17774
fly6,fly8,17828
fly4,fly5,17851
fly5,fly2,17858
fly4,fly1,17878
fly3,fly11,17934
fly5,fly6,18006
fly6,fly5,18006
fly9,fly3,18018
fly10,fly8,18020
fly3,fly9,18020
fly10,fly7,18069
fly10,fly3,18085
fly5,fly10,18115
fly3,fly5,18131
fly5,fly3,18149
fly10,fly7,18153
fly7,fly3,18154
fly11,fly9,18155
fly3,fly10,18166
fly7,fly5,18166
fly5,fly7,18166
fly10,fly7,18192
fly4,fly11,18223
fly9,fly11,18225
fly4,fly9,18228
fly11,fly4,18240
fly2,fly12,18270
fly4,fly9,18293
fly6,fly1,18296
fly7,fly8,18359
fly3,fly5,18371
fly8,fly7,18377
fly3,fly8,18408
fly3,fly5,18416
fly8,fly3,18416
fly7,fly5,18417
fly8,fly5,18421
fly7,fly8,18448
fly5,fly3,18458
fly10,fly8,18486
fly3,fly1,18509
fly5,fly7,18519
fly10,fly2,18550
fly5,fly7,18554
fly6,fly5,18592
fly1,fly2,18603
fly2,fly1,18603
fly12,fly1,18615
fly3,fly11,18619
fly11,fly3,18629
